manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,arm_type,,radial tonearm,,Construction principle: Radial tonearm,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,bearing_system,,Swiss precision steel balls; horizontally and vertically mounted,,mounted horizontally and vertically with Swiss precision steel balls,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,bearing_play_adjustment,,fine-adjustable horizontally and vertically,,Bearing play can be finely adjusted both horizontally and vertically,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,arm_tube_material,,"carbon tube, silver or black; can also be painted in color",,"carbon tube silver or black, also painted in color",parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,headshell_material,,"aircraft aluminum, hand-polished high gloss",,Headshell and attachments aircraft aluminum polished to a high gloss by hand,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,offset_angle_deg,23.5,,deg,Offset angle: 23.5°,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,cartridge_weight_range_g,,5-20 g,,Pickup weight: 5 – 20g,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,mounting_distance_mm,216,,mm,Fixing distance: 216 mm distance between platter axis and tonearm pivot point,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,effective_length_mm,233.75,,mm,Effective length: 233.75 mm distance between tonearm pivot point and cartridge tip,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,overhang_mm,17.75,,mm,overhang: 17.75 mm distance between pickup tip and platter axis,parsed,0.84,
Acoustic Solid,WTB 213,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,,User-accessible dealer product page with explicit WTB213 naming and full spec block.,Exact seeded Acoustic Solid target represented from dealer page with published geometry and construction details.,signal_cable,,continuous RCA cable; XLR possible on request,,"Signal cable: Continuously assembled with RCA plugs without interruption, XLR possible on request",parsed,0.84,
