manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
Rega,RB220,Rega RB220 official page,https://www.rega.co.uk/products/rb220,official_page,official,,Official Rega RB220 product page.,Workbook gap exact Rega tonearm target from official product page.,product_lineage,,Latest incarnation of one of Rega's most popular tonearms taking full advantage of Rega's brand new arm tube and current three point arm mounting system.,,"The RB220 is the latest incarnation of one of our most popular tonearms, taking full advantage of our brand new arm tube and the current three point arm mounting system.",parsed,0.94,Official exact-model lineage statement.
Rega,RB220,Rega RB220 official page,https://www.rega.co.uk/products/rb220,official_page,official,,Official Rega RB220 product page.,Workbook gap exact Rega tonearm target from official product page.,arm_tube_material,,one piece aluminium arm tube,,"The RB220 uses our custom one piece, aluminium arm tube",parsed,0.92,Official construction detail.
Rega,RB220,Rega RB220 official page,https://www.rega.co.uk/products/rb220,official_page,official,,Official Rega RB220 product page.,Workbook gap exact Rega tonearm target from official product page.,anti_skating,,adjustable bias / anti-skate system,,The Rega designed bias / anti skate system will adjust the amount of bias as the tonearm tracks the record ensuring even tracking throughout playback.,parsed,0.90,Official anti-skating description.
Rega,RB880,Rega RB880 official page,https://www.rega.co.uk/products/rb880,official_page,official,,Official Rega RB880 product page.,Workbook gap exact Rega tonearm target from official product page.,product_lineage,,Culmination of almost 40 years of tonearm design experience.,,"Designed using the latest 3D CAD & CAM technology, the new RB880 is the culmination of almost 40 years of tonearm design experience.",parsed,0.94,Official exact-model lineage statement.
Rega,RB880,Rega RB880 official page,https://www.rega.co.uk/products/rb880,official_page,official,,Official Rega RB880 product page.,Workbook gap exact Rega tonearm target from official product page.,arm_tube_material,,low mass aluminium tonearm tube,,Rega's award winning low mass aluminium tonearm tube,parsed,0.90,Official construction detail.
Rega,RB880,Rega RB880 official page,https://www.rega.co.uk/products/rb880,official_page,official,,Official Rega RB880 product page.,Workbook gap exact Rega tonearm target from official product page.,bearing_system,,hand matched bearing assemblies,,"Extreme levels of stability achieved, coupled with almost friction free movement from the high precision hand matched bearing assemblies",parsed,0.89,Official bearing description.
Rega,RB880,Rega RB880 official page,https://www.rega.co.uk/products/rb880,official_page,official,,Official Rega RB880 product page.,Workbook gap exact Rega tonearm target from official product page.,output_cable,,low capacitance phono cable,,Externally we have fitted a bespoke Rega designed low capacitance phono cable.,parsed,0.88,Official cable description.
Rega,RB3000,Rega RB3000 official page,https://www.rega.co.uk/products/rb3000,official_page,official,,Official Rega RB3000 product page.,Workbook gap exact Rega tonearm target from official product page.,product_lineage,,High-performance Rega reference tonearm designed to maximise tonearm and cartridge performance.,,"This is a Rega developed method of increasing the amount of detail retrieved from the record surface, designed specifically to maximise performance of the tonearm and cartridge.",parsed,0.93,Official exact-model performance and lineage statement.
Rega,RB3000,Rega RB3000 official page,https://www.rega.co.uk/products/rb3000,official_page,official,,Official Rega RB3000 product page.,Workbook gap exact Rega tonearm target from official product page.,arm_tube_material,,hand polished aluminium arm tube,,The RB3000 uses the latest award-winning Rega arm tube. Each one which is meticulously hand polished,parsed,0.89,Official construction detail.
Rega,RB3000,Rega RB3000 official page,https://www.rega.co.uk/products/rb3000,official_page,official,,Official Rega RB3000 product page.,Workbook gap exact Rega tonearm target from official product page.,bearing_system,,hand selected interference-fit bearings,,The R3000 uses improved bearings with each one being hand selected to be an interference fit with the paired spindle,parsed,0.90,Official bearing description.
Rega,RB700,Rega official product timeline,https://www.rega.co.uk/about/timeline,official_page,official,,Official Rega product timeline page.,Workbook gap legacy Rega tonearm target from official timeline support.,product_lineage,,Rega RB700 tonearm introduced April 2002 and standard with P5 and P7 turntables.,,RB700 tonearm ... April 2002 ... Standard with P5 and P7 turntables.,parsed,0.84,Official exact-model historical presence from Rega timeline.
Rega,RB2000,Rega RB2000 user manual mirror,https://www.manualsdir.com/manuals/627890/rega-rb2000.html,official_manual,official,,Mirror-hosted Rega RB2000 manual text capturing exact model setup and construction language.,Workbook gap exact Rega tonearm target from manufacturer manual mirror.,product_lineage,,High-performance Rega tonearm developed to maximise detail retrieval from record surface and complement the RP10 turntable.,,The RB2000 tonearm is packed with new features pushing the boundaries of tonearm design ... designed specifically to maximise performance of the tonearm and cartridge ... manufactured to further compliment the inherent design philosophy of the RP10 turntable.,parsed,0.89,Exact-model manual text with official-manual character despite mirror hosting.
Rega,RB2000,Rega RB2000 user manual mirror,https://www.manualsdir.com/manuals/627890/rega-rb2000.html,official_manual,official,,Mirror-hosted Rega RB2000 manual text capturing exact model setup and construction language.,Workbook gap exact Rega tonearm target from manufacturer manual mirror.,bearing_system,,improved hand selected bearings,,The RB2000 uses improved bearings with each one being hand selected to be an interference fit with the paired spindle,parsed,0.87,Exact-model manual bearing description.
Rega,RB2000,Rega RB2000 user manual mirror,https://www.manualsdir.com/manuals/627890/rega-rb2000.html,official_manual,official,,Mirror-hosted Rega RB2000 manual text capturing exact model setup and construction language.,Workbook gap exact Rega tonearm target from manufacturer manual mirror.,anti_skating,,bias adjustment slider,,Set the bias adjustment slider to the same figure as the cartridge tracking force pressure quoted by your cartridge manufacturer.,parsed,0.87,Exact-model manual setup detail.
