manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
SME,3009 II imp & imp/S2: (later=S/N 439606 or above),SME Model 3009 Series II Improved instruction book,https://sme.co.uk/wp-content/uploads/MODEL_3009_SERIES_II_IMPROVED_INSTRUCTION_BOOK.pdf,official_pdf,official,,Official SME Model 3009 Series II Improved manual.,"Official support for later 3009 Series II Improved family row, including detachable-shell S2 Improved variant.",arm_type,,precision pick-up arm,,SME Model 3009 Series II Improved precision pick-up arms,parsed,0.88,
SME,3009 II imp & imp/S2: (later=S/N 439606 or above),SME Model 3009 Series II Improved instruction book,https://sme.co.uk/wp-content/uploads/MODEL_3009_SERIES_II_IMPROVED_INSTRUCTION_BOOK.pdf,official_pdf,official,,Official SME Model 3009 Series II Improved manual.,"Official support for later 3009 Series II Improved family row, including detachable-shell S2 Improved variant.",headshell_type,,detachable shell (S2 Improved variant),,Model 3009/S2 Improved (detachable shell),parsed,0.88,
SME,3009 II imp & imp/S2: (later=S/N 439606 or above),SME Model 3009 Series II Improved instruction book,https://sme.co.uk/wp-content/uploads/MODEL_3009_SERIES_II_IMPROVED_INSTRUCTION_BOOK.pdf,official_pdf,official,,Official SME Model 3009 Series II Improved manual.,"Official support for later 3009 Series II Improved family row, including detachable-shell S2 Improved variant.",tracking_force_increment_g,0.25,,g,Each division travelled applies .25 gram tracking force at the stylus,parsed,0.82,
SME,3009 Series II improved with non-detachable shell and imp/S2 with detachable shell: (early=Serial Number less than 439606). Don't mix up previous Series II with imp/S2. See pdf arranged by SME for the identification of specific models IMO: S2 was named after the lightweight shell type S-2.,SME Series II precision pick-up arms instruction book,https://sme.co.uk/wp-content/uploads/SERIES_II_PRECISION_PICK-UP_ARMS_INSTRUCTION_BOOK.pdf,official_pdf,official,,"Official SME Series II manual, plus later improved-family manual for detachable-shell S2 reference.",Official support for early 3009 Series II Improved grouped row with non-detachable and detachable-shell variants.,arm_type,,precision pick-up arm,,This pick-up arm is built to precision engineering standards,parsed,0.88,
SME,3009 Series II improved with non-detachable shell and imp/S2 with detachable shell: (early=Serial Number less than 439606). Don't mix up previous Series II with imp/S2. See pdf arranged by SME for the identification of specific models IMO: S2 was named after the lightweight shell type S-2.,SME Series II precision pick-up arms instruction book,https://sme.co.uk/wp-content/uploads/SERIES_II_PRECISION_PICK-UP_ARMS_INSTRUCTION_BOOK.pdf,official_pdf,official,,"Official SME Series II manual, plus later improved-family manual for detachable-shell S2 reference.",Official support for early 3009 Series II Improved grouped row with non-detachable and detachable-shell variants.,effective_length_mm,228.6,,mm,"The length of the SME arm, pivot to cartridge mounting centres, is 9” for the Model 3009",parsed,0.86,
SME,3009 Series II improved with non-detachable shell and imp/S2 with detachable shell: (early=Serial Number less than 439606). Don't mix up previous Series II with imp/S2. See pdf arranged by SME for the identification of specific models IMO: S2 was named after the lightweight shell type S-2.,SME Series II precision pick-up arms instruction book,https://sme.co.uk/wp-content/uploads/SERIES_II_PRECISION_PICK-UP_ARMS_INSTRUCTION_BOOK.pdf,official_pdf,official,,"Official SME Series II manual, plus later improved-family manual for detachable-shell S2 reference.",Official support for early 3009 Series II Improved grouped row with non-detachable and detachable-shell variants.,tracking_alignment,,alignment protractor single pinhole setup,,Place the alignment protractor on the turntable spindle. Insert the stylus into the pinhole.,parsed,0.84,
SME,3009 Series II improved with non-detachable shell and imp/S2 with detachable shell: (early=Serial Number less than 439606). Don't mix up previous Series II with imp/S2. See pdf arranged by SME for the identification of specific models IMO: S2 was named after the lightweight shell type S-2.,SME Model 3009 Series II Improved instruction book,https://sme.co.uk/wp-content/uploads/MODEL_3009_SERIES_II_IMPROVED_INSTRUCTION_BOOK.pdf,official_pdf,official,,"Official SME Series II manual, plus later improved-family manual for detachable-shell S2 reference.",Official support for early 3009 Series II Improved grouped row with non-detachable and detachable-shell variants.,headshell_type,,detachable shell (S2 Improved variant),,Model 3009/S2 Improved (detachable shell),parsed,0.88,
SME,3009III &3009IIIS (original/smaller shell),SME Series III instruction book,https://sme.co.uk/wp-content/uploads/SERIES_III_PRECISION_PICK-UP_ARM_INSTRUCTION_BOOK.pdf,official_pdf,official,,Official SME Series III manual. Design-change page distinguishes original smaller-shell geometry from later modified carrying arm.,Official support for grouped original/smaller-shell 3009III and 3009IIIS family row.,effective_length_mm,229.0,,mm,"Nominal length, pivot to stylus 9 229.0",parsed,0.88,
SME,3009III &3009IIIS (original/smaller shell),SME Series III instruction book,https://sme.co.uk/wp-content/uploads/SERIES_III_PRECISION_PICK-UP_ARM_INSTRUCTION_BOOK.pdf,official_pdf,official,,Official SME Series III manual. Design-change page distinguishes original smaller-shell geometry from later modified carrying arm.,Official support for grouped original/smaller-shell 3009III and 3009IIIS family row.,mounting_distance_mm,215.4,,mm,Distance from bedplate centre to turntable centre (L) 8.48 215.4,parsed,0.88,
SME,3009III &3009IIIS (original/smaller shell),SME Series III instruction book,https://sme.co.uk/wp-content/uploads/SERIES_III_PRECISION_PICK-UP_ARM_INSTRUCTION_BOOK.pdf,official_pdf,official,,Official SME Series III manual. Design-change page distinguishes original smaller-shell geometry from later modified carrying arm.,Official support for grouped original/smaller-shell 3009III and 3009IIIS family row.,headshell_type,,original smaller shell,,The original design. Arms of this type ...,parsed,0.88,
