manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
Ortofon,RMG-212 & RS-212,Ortofon RS/AS tonearm alignment recommendations,https://cdn.shopify.com/s/files/1/0756/9247/4651/files/recommendations_for_rs_and_as_tonearms.pdf?v=1705500339,official_pdf,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical/family support for 212-series long-arms and RS/AS 212 alignment recommendations.,mounting_distance_mm,217,,mm,RS/AS-212 ... D [mm] 217,parsed,0.9,
Ortofon,RMG-212 & RS-212,Ortofon RS/AS tonearm alignment recommendations,https://cdn.shopify.com/s/files/1/0756/9247/4651/files/recommendations_for_rs_and_as_tonearms.pdf?v=1705500339,official_pdf,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical/family support for 212-series long-arms and RS/AS 212 alignment recommendations.,effective_length_mm,231,,mm,RS/AS-212 SPU L [mm] 231,parsed,0.9,
Ortofon,RMG-212 & RS-212,Ortofon RS/AS tonearm alignment recommendations,https://cdn.shopify.com/s/files/1/0756/9247/4651/files/recommendations_for_rs_and_as_tonearms.pdf?v=1705500339,official_pdf,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical/family support for 212-series long-arms and RS/AS 212 alignment recommendations.,overhang_mm,14,,mm,RS/AS-212 SPU Overhang [mm] 14,parsed,0.9,
Ortofon,RMG-212 & RS-212,Ortofon RS/AS tonearm alignment recommendations,https://cdn.shopify.com/s/files/1/0756/9247/4651/files/recommendations_for_rs_and_as_tonearms.pdf?v=1705500339,official_pdf,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical/family support for 212-series long-arms and RS/AS 212 alignment recommendations.,offset_angle_deg,22,,deg,RS/AS-212 SPU Offset angle [deg] 22,parsed,0.9,
Ortofon,RMG-212 & RS-212,Ortofon RS/AS tonearm alignment recommendations,https://cdn.shopify.com/s/files/1/0756/9247/4651/files/recommendations_for_rs_and_as_tonearms.pdf?v=1705500339,official_pdf,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical/family support for 212-series long-arms and RS/AS 212 alignment recommendations.,null_point_outer_mm,121.5,,mm,RS/AS-212 SPU Zero radii [mm] 121.5,parsed,0.9,
Ortofon,RMG-212 & RS-212,Ortofon RS 212 vintage page,https://ortofon.com/pages/rs-212-vintage,official_page,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical/family support for 212-series long-arms and RS/AS 212 alignment recommendations.,product_family,,historical product,,RS 212 vintage – Ortofon Historical product,parsed,0.82,
Ortofon,RMG-309,Ortofon RMG 309 vintage page,https://ortofon.com/pages/rmg-309-vintage,official_page,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical support for RMG 309 vintage broadcast arm.,product_family,,historical product,,RMG 309 vintage – Ortofon Historical product,parsed,0.82,
Ortofon,RMG-309,Ortofon RMG 309 vintage page,https://ortofon.com/pages/rmg-309-vintage,official_page,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon historical support for RMG 309 vintage broadcast arm.,marketing_description,,perfect long arm for broadcasting and other professional purposes demanding the highest obtainable precision,,"The Ortofon RMG 309 is the perfect, long arm for broadcasting and other professional purposes demanding the highest obtainable precision.",parsed,0.8,
Ortofon,SMG-212/SKG-212/AS-212,Ortofon AS-212S page,https://ortofon.com/pages/as-212s-9,official_page,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon AS-212S page plus RS/AS recommendation sheet for 212-family geometry.,arm_type,,static-balance tonearm,,"Ortofon AS-212S 9"" static-balance tonearm",parsed,0.9,
Ortofon,SMG-212/SKG-212/AS-212,Ortofon AS-212S page,https://ortofon.com/pages/as-212s-9,official_page,official,,Official Ortofon historical pages and alignment recommendation PDF.,Official Ortofon AS-212S page plus RS/AS recommendation sheet for 212-family geometry.,anti_skating,,Yes,,"The AS Series tonearms can be used for a wide array of cartridges, featuring anti-skating control.",parsed,0.9,
