manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,field_name,value_num,value_text,unit,raw_value_text,status,confidence,field_notes
Sony,PUA-7,Sony PS-X70 Owner's Instruction Manual,https://www.manualslib.com/manual/4267527/Sony-Ps-X70.html?page=12#manual,official_manual,official,,Original Sony PS-X70 owner's instruction manual page hosted by ManualsLib.,Official Sony manual support for integrated PUA-7 tonearm geometry.,effective_length_mm,235,,mm,235 mm (9 1/4 in.),parsed,0.85,Manual specification page lists pivot-to-stylus length as 235 mm.
Sony,PUA-7,Sony PS-X70 Owner's Instruction Manual,https://www.manualslib.com/manual/4267527/Sony-Ps-X70.html?page=12#manual,official_manual,official,,Original Sony PS-X70 owner's instruction manual page hosted by ManualsLib.,Official Sony manual support for integrated PUA-7 tonearm geometry.,overhang_mm,14,,mm,14 mm,parsed,0.85,Manual specification page lists overhang as 14 mm.
Sony,PUA-7,Sony PS-X70 Owner's Instruction Manual,https://www.manualslib.com/manual/4267527/Sony-Ps-X70.html?page=12#manual,official_manual,official,,Original Sony PS-X70 owner's instruction manual page hosted by ManualsLib.,Official Sony manual support for integrated PUA-7 tonearm geometry.,cartridge_range_low_g,11.0,,g,11.0-19.5 g including shell,parsed,0.75,Manual specification page lists cartridge weight range including shell as 11.0-19.5 g before extra weight range.
Sony,PUA-7,Sony PS-X70 Owner's Instruction Manual,https://www.manualslib.com/manual/4267527/Sony-Ps-X70.html?page=12#manual,official_manual,official,,Original Sony PS-X70 owner's instruction manual page hosted by ManualsLib.,Official Sony manual support for integrated PUA-7 tonearm geometry.,cartridge_range_high_g,19.5,,g,11.0-19.5 g including shell,parsed,0.75,Manual specification page lists cartridge weight range including shell as 11.0-19.5 g before extra weight range.
Sony,PUA-9,Sony PS-X9 Service Manual,https://www.manualslib.com/manual/4203633/Sony-Ps-X9.html?page=1#manual,official_manual,official,,Original Sony PS-X9 service manual specification page hosted by ManualsLib.,Official Sony manual support for integrated PUA-9 tonearm geometry.,effective_length_mm,264,,mm,264 mm (10 3/8 inches),parsed,0.85,Service manual specification page lists pivot-to-stylus length as 264 mm.
Sony,PUA-9,Sony PS-X9 Service Manual,https://www.manualslib.com/manual/4203633/Sony-Ps-X9.html?page=1#manual,official_manual,official,,Original Sony PS-X9 service manual specification page hosted by ManualsLib.,Official Sony manual support for integrated PUA-9 tonearm geometry.,overhang_mm,14,,mm,14 mm,parsed,0.85,Service manual specification page lists overhang as 14 mm.
Sony,PUA-9,Sony PS-X9 Service Manual,https://www.manualslib.com/manual/4203633/Sony-Ps-X9.html?page=1#manual,official_manual,official,,Original Sony PS-X9 service manual specification page hosted by ManualsLib.,Official Sony manual support for integrated PUA-9 tonearm geometry.,cartridge_range_low_g,10.5,,g,10.5-18.5 g with small counterweight,parsed,0.80,Service manual specification page lists small-counterweight cartridge range as 10.5-18.5 g.
Sony,PUA-9,Sony PS-X9 Service Manual,https://www.manualslib.com/manual/4203633/Sony-Ps-X9.html?page=1#manual,official_manual,official,,Original Sony PS-X9 service manual specification page hosted by ManualsLib.,Official Sony manual support for integrated PUA-9 tonearm geometry.,cartridge_range_high_g,18.5,,g,10.5-18.5 g with small counterweight,parsed,0.80,Service manual specification page lists small-counterweight cartridge range as 10.5-18.5 g.
Sony,PUA-237 & PUA-1500S,SONY PUA-1500S/PUA-1500L Specifications,https://audio-heritage.jp/SONY-ESPRIT/etc/pua-1500.html,official_brochure,official,,Historical Sony specification transcription with original images reproduced by Audio Heritage.,Official historical Sony specification support for later PUA-1500S member within grouped legacy short-arm row.,product_lineage,,"PUA-1500S short variant documented at 237 mm effective length, 15 mm overhang, and 22°13' offset angle.",,PUA-1500S:237mm / 15mm / 22°13',parsed,0.70,Historical Sony specification page documents later PUA-1500S member represented inside this grouped legacy short-arm row.
Sony,PUA-286 & PUA-1500L,SONY PUA-1500S/PUA-1500L Specifications,https://audio-heritage.jp/SONY-ESPRIT/etc/pua-1500.html,official_brochure,official,,Historical Sony specification transcription with original images reproduced by Audio Heritage.,Official historical Sony specification support for later PUA-1500L member within grouped legacy long-arm row.,product_lineage,,"PUA-1500L long variant documented at 286 mm effective length, 13 mm overhang, and 18°39' offset angle.",,PUA-1500L:286mm / 13mm / 18°39',parsed,0.70,Historical Sony specification page documents later PUA-1500L member represented inside this grouped legacy long-arm row.
Sony,PUA-1600S,SONY PUA-1600S/PUA-1600L Specifications SONY,https://audio-database.com/SONY-ESPRIT/etc/pua-1600.html,official_brochure,official,,Historical Sony specification transcription for PUA-1600 family reproduced by Audio Database.,Historical Sony specification support for PUA-1600S.,effective_length_mm,237,,mm,PUA-1600S:237mm(320mm),parsed,0.80,Historical Sony specification page lists PUA-1600S effective length as 237 mm.
Sony,PUA-1600S,SONY PUA-1600S/PUA-1600L Specifications SONY,https://audio-database.com/SONY-ESPRIT/etc/pua-1600.html,official_brochure,official,,Historical Sony specification transcription for PUA-1600 family reproduced by Audio Database.,Historical Sony specification support for PUA-1600S.,overall_length_mm,320,,mm,PUA-1600S:237mm(320mm),parsed,0.80,Historical Sony specification page lists PUA-1600S total length as 320 mm.
Sony,PUA-1600S,SONY PUA-1600S/PUA-1600L Specifications SONY,https://audio-database.com/SONY-ESPRIT/etc/pua-1600.html,official_brochure,official,,Historical Sony specification transcription for PUA-1600 family reproduced by Audio Database.,Historical Sony specification support for PUA-1600S.,cartridge_range_low_g,4,,g,4g ~ 18g,parsed,0.75,Historical Sony specification page lists usable cartridge weight range as 4-18 g.
Sony,PUA-1600S,SONY PUA-1600S/PUA-1600L Specifications SONY,https://audio-database.com/SONY-ESPRIT/etc/pua-1600.html,official_brochure,official,,Historical Sony specification transcription for PUA-1600 family reproduced by Audio Database.,Historical Sony specification support for PUA-1600S.,cartridge_range_high_g,18,,g,4g ~ 18g,parsed,0.75,Historical Sony specification page lists usable cartridge weight range as 4-18 g.
