manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,feature_kind,feature_text,status,confidence,feature_notes
Oracle,Delphi MKVI,Oracle Delphi MkVI Second Generation official page,https://www.oracle-audio.com/delphi-mkvi-second-generation,official_website,official,,Official Oracle product page for Delphi MkVI Second Generation.,Seed target hydrated from official Oracle MkVI page.,summary,"Suspended high-end belt-drive turntable using Oracle’s floating sub-chassis architecture, tripedal suspension, record clamp system, and precision micro-vibration control design.",parsed,0.95,Official product summary.
Oracle,Delphi MKVI,Oracle Delphi MkVI Second Generation official page,https://www.oracle-audio.com/delphi-mkvi-second-generation,official_website,official,,Official Oracle product page for Delphi MkVI Second Generation.,Seed target hydrated from official Oracle MkVI page.,engineering,"Oracle specifies a 4 kg platter, six-point bearing system, AC synchronous motor, Micro Vibration Stabilizer System, and suspended aluminium/magnesium sub-chassis with acrylic plinth.",parsed,0.95,Official engineering digest.
Pro-Ject,Xtension 12 Evolution,Pro-Ject Xtension 12 Evolution official page,https://www.project-audio.com/en/product/xtension-12-evolution/,official_website,official,,Official Pro-Ject Xtension 12 Evolution product page.,Flagship Pro-Ject target.,summary,"Flagship Pro-Ject turntable with 12-inch EVO tonearm, heavyweight belt-drive platform, magnetic decoupling feet, and push-button 33/45/78 speed control.",parsed,0.96,Official product summary.
Pro-Ject,Xtension 12 Evolution,Pro-Ject Xtension 12 Evolution official page,https://www.project-audio.com/en/product/xtension-12-evolution/,official_website,official,,Official Pro-Ject Xtension 12 Evolution product page.,Flagship Pro-Ject target.,construction,"Pro-Ject highlights an aluminium platter with internal TPE damping and vinyl top layer, inverted ceramic ball bearing with magnetic support, and an MDF chassis loaded with steel pellets to add mass without alloy ringing.",parsed,0.95,Official construction digest.
Yamaha,GT-5000,Yamaha GT-5000 official overview,https://usa.yamaha.com/products/audio_visual/hifi_components/gt-5000/index.html,official_website,official,,Official Yamaha GT-5000 overview page.,Current Yamaha flagship turntable target.,summary,"Flagship Yamaha turntable that revives the GT heritage with a balanced signal path, short straight tonearm, heavy aluminium platter, and custom belt-drive mechanism.",parsed,0.96,Official product summary.
Yamaha,GT-5000,Yamaha GT-5000 official overview,https://usa.yamaha.com/products/audio_visual/hifi_components/gt-5000/index.html,official_website,official,,Official Yamaha GT-5000 overview page.,Current Yamaha flagship turntable target.,drive_system,"Yamaha describes the GT-5000 as a custom belt-drive design powered by a 24-pole, 2-phase AC synchronous motor, using a 5 kg aluminium platter and heavy-duty isolation feet.",parsed,0.95,Official drive-system digest.
VPI,Prime 21,VPI Prime 21 official page,https://www.vpiindustries.com/prime21,official_website,official,,Official VPI Prime 21 product page.,Current VPI target.,summary,"Prime 21 updates the VPI Prime platform with refined details, 10-inch 3D-printed gimbal tonearm, 20 lb aluminium platter, and MDF-plus-steel chassis construction.",parsed,0.96,Official product summary.
VPI,Prime 21,VPI Prime 21 official page,https://www.vpiindustries.com/prime21,official_website,official,,Official VPI Prime 21 product page.,Current VPI target.,technical,"Official Prime 21 specifications include a JMW-10-3D tonearm, 12-inch 20 lb aluminium platter, 300 RPM motor, wow and flutter of 0.05%, and rumble 80 dB down.",parsed,0.95,Official technical digest.
Gold Note,Mediterraneo,Gold Note Mediterraneo official page,https://www.goldnote.it/turntables/mediterraneo/,official_website,official,,Official Gold Note Mediterraneo product page.,Current Gold Note flagship-style target.,summary,"Italian high-end belt-drive turntable built around a curved catenary plinth, walnut chassis, acrylic and stainless reinforcement layers, and integrated Gold Note B-7 Ceramic tonearm.",parsed,0.96,Official product summary.
Gold Note,Mediterraneo,Gold Note Mediterraneo official page,https://www.goldnote.it/turntables/mediterraneo/,official_website,official,,Official Gold Note Mediterraneo product page.,Current Gold Note flagship-style target.,drive_system,"Gold Note specifies a 45 mm high-density POM platter, EPDM belt transmission, high-torque 12V synchronous motor, bronze bearing system, and electronic speed control with fine pitch adjustment.",parsed,0.95,Official engineering digest.
Pear Audio,Kid Thomas,Pear Audio Kid Thomas official page,https://pearaudio-analogue.com/kid-thomas/,official_website,official,,Official Pear Audio Kid Thomas product page.,Current Pear Audio turntable target.,summary,"Pear Audio presents Kid Thomas as part of its Tom Fletcher-derived turntable line, offered in natural wood or satin black finishes and positioned as a pursuit of the ultimate turntable.",parsed,0.9,Official page summary.
Pear Audio,Kid Thomas,Pear Audio Kid Thomas official page,https://pearaudio-analogue.com/kid-thomas/,official_website,official,,Official Pear Audio Kid Thomas product page.,Current Pear Audio turntable target.,design_philosophy,"Pear Audio says its turntables follow a materials-first design philosophy, focusing on how combined materials maintain the proper phase of energy throughout the system, with even bearing oil developed specifically for Pear Audio Analogue.",parsed,0.89,Official philosophy text compressed from page copy.
