manufacturer,model,source_name,source_url,source_type,trust_level,local_snapshot_path,source_notes,model_notes,feature_kind,feature_text,status,confidence,feature_notes
Acoustic Signature,Invictus NEO,Acoustic Signature Invictus NEO official page,https://www.acoustic-signature.com/products/turntables/invictus-neo/,official_website,official,,Official Acoustic Signature Invictus NEO product page.,Reference Acoustic Signature turntable target.,summary,"Reference high-mass belt-drive turntable with six isolated AC motors, external DMC-20 motor controller, massive aluminium chassis, and support for up to four tonearms.",parsed,0.97,Official product summary.
Acoustic Signature,Invictus NEO,Acoustic Signature Invictus NEO official page,https://www.acoustic-signature.com/products/turntables/invictus-neo/,official_website,official,,Official Acoustic Signature Invictus NEO product page.,Reference Acoustic Signature turntable target.,engineering,"Acoustic Signature specifies a Dura Turn Diamond bearing, 16.5 kg 335 mm sandwich platter with brass layer and 48 silencer modules, CLD damping chassis, belt drive with fine speed adjustment, and 3D magnetic double-damping feet.",parsed,0.97,Official technical digest.
Audio Note,TT-Three,Audio Note TT-Three official page,https://www.audionote.co.uk/tt-three,official_website,official,,Official Audio Note TT-Three product page.,Current Audio Note turntable target.,summary,"Three-motor suspended belt-drive turntable using a very light Lexan platter, digitally synthesized master motor control, and an Audio Note armboard configuration for the company’s own 9-inch tonearms.",parsed,0.96,Official product summary.
Audio Note,TT-Three,Audio Note TT-Three official page,https://www.audionote.co.uk/tt-three,official_website,official,,Official Audio Note TT-Three product page.,Current Audio Note turntable target.,suspension,"Audio Note describes a three-point suspended design centered at the bearing, with sub-chassis mass balancing so each suspension tower carries an equalized load.",parsed,0.95,Official suspension summary.
Goldmund,Reference,Goldmund Reference turntable official history page,https://goldmund.com/reference-turntable-dvdplayer/,official_website,official,,Official Goldmund Reference page covering company landmark products.,Historical Goldmund flagship turntable target.,summary,"Goldmund identifies the Reference as its 1982 state-of-the-art vinyl record turntable and foundation-stone product, built around T3 tonearm technology.",parsed,0.93,Official historical summary.
Goldmund,Reference,Goldmund Reference turntable official history page,https://goldmund.com/reference-turntable-dvdplayer/,official_website,official,,Official Goldmund Reference page covering company landmark products.,Historical Goldmund flagship turntable target.,historical_significance,Goldmund states the Reference was presented at CES and that the Goldmund Studio Turntable LP was selected by The Absolute Sound in 1983 as one of the 12 analog components that shook the audio world.,parsed,0.9,Official lineage and significance summary.
Michell,GyroDec,Michell Gyro official page,https://www.michellaudio.com/michell-gyro-reference-turntable,official_website,official,,Official Michell Gyro product page. Current official page brands the platform as Michell Gyro.,Seeded GyroDec target represented by Michell’s current official Gyro product page.,summary,"Long-running suspended reference turntable platform evolved from the classic Michell GyroDec concept, now reworked with a new chassis, revised suspension, and upgraded motor and PSU architecture.",parsed,0.88,Official current-lineup summary mapped to seeded GyroDec target.
Michell,GyroDec,Michell Gyro official page,https://www.michellaudio.com/michell-gyro-reference-turntable,official_website,official,,Official Michell Gyro product page. Current official page brands the platform as Michell Gyro.,Seeded GyroDec target represented by Michell’s current official Gyro product page.,construction,"Michell highlights a 19 mm aerospace-grade aluminium chassis, embedded brass weights, tuned 3.5 Hz suspension with lateral damping, isolated freestanding motor housing, and inverted bearing with double-helix oil pumping.",parsed,0.9,Official engineering digest mapped to GyroDec line.
Basis Audio,Debut V,Basis Audio awards and reviews page,https://www.basisaudio.com/awards-reviews/,official_website,official,,Official Basis Audio site page containing manufacturer-curated owner and reviewer commentary. Official page uses Debut Mark 5 wording.,Seed target Debut V represented by Basis official Debut Mark 5 wording.,summary,"Basis Audio’s official site explicitly references the Debut Mark 5 as a new turntable in the Debut line, described there as a significant improvement over Debut III with lower noise, stronger dynamics, tighter bass, and better-defined highs.",parsed,0.82,Official manufacturer-hosted historical/support page rather than product page.
Basis Audio,Debut V,Basis Audio Signature Series technical paper,https://www.basisaudio.com/turntables/signature-series-technical-paper/,official_website,official,,Official Basis Audio technical paper for Signature Series updates.,Seed target Debut V represented by Basis official Debut Mark 5 wording.,suspension,"Basis says its Signature Series revisions further distance the Debut suspension, already described by the company as the most effective isolation system on any turntable, from competing suspensions while also reducing motor vibration and improving bearing finish.",parsed,0.85,Official engineering/support summary.
